

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ReshNet3
optimizer          : sgd
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : zReshNet_testll3_4

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [4, 4, 4, 3] 
C (# Channels)	: [32, 64, 128, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.95913233 ;	Train Accuracy: 28.278 ;	Test Loss: 1.61258847 ; 	Test Accuracy: 40.940 ;
Epoch: 2 ;	Train Loss: 1.52501152 ;	Train Accuracy: 43.830 ;	Test Loss: 1.41094567 ; 	Test Accuracy: 48.760 ;
Epoch: 3 ;	Train Loss: 1.28998159 ;	Train Accuracy: 53.054 ;	Test Loss: 1.23028868 ; 	Test Accuracy: 54.840 ;
Epoch: 4 ;	Train Loss: 1.08912180 ;	Train Accuracy: 61.176 ;	Test Loss: 1.02414785 ; 	Test Accuracy: 64.320 ;
Epoch: 5 ;	Train Loss: 0.94242380 ;	Train Accuracy: 66.616 ;	Test Loss: 1.28471866 ; 	Test Accuracy: 59.760 ;
Epoch: 6 ;	Train Loss: 0.81788004 ;	Train Accuracy: 71.510 ;	Test Loss: 0.78862844 ; 	Test Accuracy: 73.150 ;
Epoch: 7 ;	Train Loss: 0.71812793 ;	Train Accuracy: 75.142 ;	Test Loss: 0.79619516 ; 	Test Accuracy: 71.750 ;
Epoch: 8 ;	Train Loss: 0.64952707 ;	Train Accuracy: 77.674 ;	Test Loss: 0.71524942 ; 	Test Accuracy: 76.040 ;
Epoch: 9 ;	Train Loss: 0.60931080 ;	Train Accuracy: 79.002 ;	Test Loss: 0.75191034 ; 	Test Accuracy: 74.560 ;
Epoch: 10 ;	Train Loss: 0.57114355 ;	Train Accuracy: 80.392 ;	Test Loss: 0.64449367 ; 	Test Accuracy: 77.970 ;
Epoch: 11 ;	Train Loss: 0.54450070 ;	Train Accuracy: 81.348 ;	Test Loss: 0.72162930 ; 	Test Accuracy: 76.840 ;
